name,location,price_in_lakhs,area_in_sqft,bhk,has_rating
shree varu homes gruham,"vadapalani,  south",159.0,1328,3,0
babu residency,nanmangalam,94.16,1159,3,0
babu enclave,nanmangalam,98.4,1248,3,0
babu residency,kovilambakkam,94.0,1239,3,0
babu flats,kovilambakkam,96.56,1260,3,0
babu flats,kovilambakkam,97.56,1260,3,0
babu flats,"rose nagar, kovilambakkam",95.7,1165,3,0
viji flats,"rose nagar, kovilambakkam",90.23,1222,3,0
adhithya residency,kovilambakkam,89.13,1221,3,0
babu flats,"rose nagar, kovilambakkam",84.53,1161,3,0
babu flats,"veeramani nagar, kovilambakkam",90.2,1160,3,0
somu residency,"rose nagar, kovilambakkam",96.72,1223,3,0
babu residency,"s kolathur, kovilambakkam",98.0,1158,3,0
adhith enclave,nanmangalam,90.0,1158,3,0
victoria towers,"kazhipattur, omr",95.0,1985,3,0
mukesh keerthi flat,iyyappanthangal,56.0,950,2,0
orchid gardens,tambaram,53.25,1024,2,0
sri sai resident,perumbakkam,97.6,920,3,0
"perumbakkam, chennai, chennai south",perumbakkam,99.0,955,3,0
new flat,ambattur,53.9,932,2,0
"guduvancheri, chennai, chennai south",guduvancheri,94.5,960,3,0
"guduvancheri, chennai, chennai south",guduvancheri,95.0,1200,3,0
"kayarambedu, chennai, chennai south",kayarambedu,67.0,800,3,0
"thangappapuram, perumanttunallur, chennai, chennai south","thangappapuram, perumanttunallur",83.0,1000,3,0
"guduvancheri, chennai, chennai south",guduvancheri,82.5,1000,3,0
on request,chromepet,96.0,908,2,0
udhayam saimugil,chitlapakkam,125.0,1618,3,0
udhayam saimugil,chitlapakkam,125.0,1648,3,0
on request,chromepet,96.0,910,2,0
jayam sri sai garden hill view,perumbakkam,98.5,950,3,0
on request,kolathur,85.7,1026,3,0
new flat,kolathur,84.0,1204,3,0
vinayagaburam,kolathur,84.0,1205,3,0
"gerugambakkam, chennai, chennai west",gerugambakkam,130.0,1200,4,0
new flat,kolathur,84.0,1200,3,0
livehomes,perumbakkam,53.91,856,2,0
livehomes,tambaram,75.4,888,2,0
livehomes,madhavaram,106.0,1213,3,0
scc homes,mugalivakkam,72.0,992,2,0
scc homes,perumanttunallur,87.0,900,3,0
scc homes,"semmancheri, omr",76.84,1188,2,0
scc homes,"semmancheri, omr",75.21,1162,2,0
scc homes,velachery,110.00000000000001,1133,3,0
scc homes,nanmangalam,71.29,1066,2,0
scc homes,"kuberan nagar, madipakkam",67.52,910,2,0
scc homes,madipakkam,128.0,1418,3,0
alankar horizon,"camp road, selaiyur",110.00000000000001,1730,3,0
alankar horizon,medavakkam,83.17,1250,2,0
orchid garden,perungalathur,70.56,1359,3,0
on request,perungalathur,53.24,1024,2,0
orchid gardens,tambaram,53.29,1025,2,0
orchid gardens,tambaram,70.66,1359,3,0
orchid garden,perungalathur,75.7,1456,3,0
orchid gardens,tambaram,75.75,1457,3,0
tambaram,tambaram,119.0,1163,3,0
alankar vridhi villa,"mappedu, selaiyur",125.0,1163,3,0
alankar vridhi villa,tambaram,125.0,1163,3,0
alankar horizon,"camp road, selaiyur",108.0,1600,3,0
alankar horizon,"camp road, selaiyur",83.17,1250,2,0
alankar horzion,east tambaram,86.63,1300,2,0
on request,medavakkam,76.52,1250,2,0
orchid gardens,old perungalathur,75.75,1457,3,0
orchid gardens,perungalathur,70.65,1359,3,0
orchid garden,old perungalathur,48.46,932,2,0
orchid gardens,tambaram,70.67,1359,3,0
orchid gardens,tambaram,75.76,1457,3,0
new flat,"puthagaram, korattur",84.1,1205,3,0
babu residency,keelkattalai,99.4,1245,3,0
new flat,ayanambakkam,56.21,968,2,0
new flat,ayyapakkam,58.0,1001,2,0
new flat,ayyapakkam,53.92,932,2,0
new flat,ayyapakkam,83.58,1441,3,0
new flat,ayyapakkam,59.0,1071,2,0
new flat,ayyapakkam,59.0,1070,2,0
babu flats,nanmangalam,95.7,1236,3,0
new flat,ayanambakkam,59.0,1071,2,0
new flat,ambattur,83.5,1440,3,0
new flat,ambattur,83.5,1441,3,0
kaaviya gardens prem enclave,valasaravakkam,52.24,522,1,0
akb solitaire,"mappedu, selaiyur",120.0,963,3,0
"gerugambakkam, chennai, chennai west",gerugambakkam,114.99999999999999,800,3,0
orchid rr construction,old perungalathur,48.47,932,2,0
vishnu sky towers,madambakkam,68.95,985,2,0
vishnu sky towers,madambakkam,78.68,1124,3,0
apartment,"banu nagar, ambattur",60.44,930,2,0
keerthi homes,iyyappanthangal,78.25,1186,3,0
keerthi homes,iyyappanthangal,67.5,957,2,0
keerthi homes,iyyappanthangal,67.5,950,2,0
sai keerthi,iyyappanthangal,67.0,957,2,0
sai keerthi,iyyappanthangal,78.0,1189,3,0
keerthi homes,iyyappanthangal,67.2,950,2,0
aruna flats,"apuram,  south",88.7,1232,3,0
keerthi homes,iyyappanthangal,67.25,957,2,0
keerthi homes,iyyappanthangal,67.15,950,2,0
prosper,"thalambur, omr",67.8,1032,2,0
rr raksha homes,kumananchavadi,63.87,900,2,0
sai keerthi,iyyappanthangal,67.7,970,2,0
rr raksha homes,kumananchavadi,74.0,1050,2,0
rr sai keerthi homes,poonamallee,65.0,956,2,0
rr sai keerthi homes,poonamallee,65.0,967,2,0
sai keerthi enclave poonamallee,poonamallee,65.0,952,2,0
rr raksha homes,kumananchavadi,82.0,1170,3,0
rr sai mukesh flats,poonamallee,65.0,968,2,0
keerthi homes,iyyappanthangal,67.85,957,2,0
keerthi homes,iyyappanthangal,67.25,953,2,0
keerthi homes,poonamallee,110.00000000000001,1450,3,0
keerthi homes,poonamallee,70.0,885,2,0
keerthi homes,poonamallee,77.0,996,2,0
keerthi homes,poonamallee,73.0,937,2,0
sai keerthi,iyyappanthangal,67.95,976,2,0
sai keerthi,iyyappanthangal,67.5,958,2,0
rr raksha homes,kumananchavadi,73.98,1050,2,0
keerthi homes,iyyappanthangal,68.0,976,2,0
sai anna baba flats,gerugambakkam,75.0,1060,2,0
sai keerthi homes,iyyappanthangal,68.0,975,2,0
vinayagaburam,kolathur,43.12,707,2,0
sai keerthi homes,iyyappanthangal,65.0,975,2,0
vinayagaburam,kolathur,41.6,682,2,0
keerthi homes,gerugambakkam,74.0,1060,2,0
keerthi homes,iyyappanthangal,64.0,957,2,0
keerthi homes,iyyappanthangal,64.5,950,2,0
"kovur, chennai, chennai west",kovur,125.0,1050,3,0
"kovur, chennai, chennai west",kovur,95.0,789,3,0
"kovur, chennai, chennai west",kovur,110.00000000000001,1350,2,0
"guduvancheri, chennai, chennai south",guduvancheri,57.95,1200,2,0
on request,guduvancheri,53.71,938,2,0
brigade xanadu,mogappair,64.0,682,1,1
brigade xanadu,mogappair,135.0,1062,2,1
brigade xanadu,mogappair,64.5,682,1,1
jains archway,kilpauk,380.0,2234,3,0
sidharth crown,madhavaram,75.0,974,2,0
"perungalathur, chennai, chennai south",perungalathur,136.0,1200,3,0
"perungalathur, chennai, chennai south",perungalathur,136.0,1250,3,0
"perungalathur, chennai, chennai south",perungalathur,134.0,1112,3,0
ayana 95,ayanambakkam,96.0,1057,2,0
rainbow chetna,perambur,128.0,1338,3,0
rainbow chetna,perambur,96.0,1040,2,0
unity kingdom,medavakkam,83.0,1111,2,0
navins hillview avenue,thirumudivakkam,100.0,1472,3,1
purva somerset house,"dy,  south",325.0,1968,3,1
vgk sri sai enclave,"west tambaram,  south",55.0,917,2,0
vgk unity kingdom,medavakkam,84.0,982,2,0
shriram park 63,perungalathur,140.0,1390,3,1
ayana 95,ayanambakkam,84.0,1022,2,0
summer garden,medavakkam,73.0,1008,2,0
urbanrise codename new porur,thirumazhisai,59.0,849,2,1
"sai phaadham, new flat",poonamallee,103.0,1476,3,0
mukesh keerthi homes,poonamallee,68.49,1161,3,0
"dheena enclave,new",vanagaram,290.0,1200,5,0
"keerthi mukesh flat, new",poonamallee,56.0,953,2,0
on request,madhavaram,77.18,1043,2,0
on request,madhavaram,112.00000000000001,1457,3,0
on request,madhavaram,122.0,1738,3,0
on request,madhavaram,76.23,1089,2,0
on request,koyambedu,153.0,1737,4,0
on request,kilpauk,380.0,2234,3,0
on request,kilpauk,380.0,2236,3,0
on request,t nagar,476.0,2133,3,0
on request,t nagar,476.0,2135,3,0
on request,madhavaram,99.0,1375,3,0
on request,ayanambakkam,111.00000000000001,1259,3,0
on request,valasaravakkam,155.0,1125,2,0
on request,thirumudivakkam,89.0,1431,3,0
on request,kovur,73.83,1274,3,0
on request,kovur,73.94,1276,3,0
on request,madhavaram milk colony,105.0,1391,3,0
epk,anna salai,345.0,1723,3,0
risland the ace,perungudi,199.0,1638,3,0
babu flats,kovilambakkam,84.53,1160,3,0
"guduvancheri, chennai, chennai south",guduvancheri,94.0,1200,3,0
lancor infinys,keelkattalai,96.89,1020,2,0
"guduvancheri, chennai, chennai south",guduvancheri,81.95,1000,3,0
on request,perungudi,212.0,1714,3,0
livehomes,anna nagar,137.0,1098,2,0
livehomes,madipakkam,77.44,878,2,0
rhea apartments,guduvancheri,53.71,938,2,0
"guduvancheri, chennai, chennai south",guduvancheri,89.0,900,4,0
adhithya enclave,kovilambakkam,91.5,1160,3,0
seagull,"puzhuthivakkam, madipakkam",127.0,1418,3,0
new flats,"puzhuthivakkam, madipakkam",126.0,1418,3,0
on request,perungudi,169.0,1356,2,0
scc homes,chromepet,66.03,985,2,0
scc homes,"vadakkupattu, medavakkam",65.68,995,2,0
dharman's divine,"sankarapuram, sithalapakkam",57.65,1045,2,0
new flat,kolathur,50.8,796,2,0
vinayagaburam,kolathur,50.0,794,2,0
new flat,ayappakkam,53.91,931,2,0
brigade xanadu,mogappair,110.00000000000001,1062,2,1
kg ameya,"saidapet, gst road",310.0,1809,3,0
vgk unity kingdom,medavakkam,72.21,1184,2,0
hiliving serenity,madhavaram,110.00000000000001,1300,3,0
hi living seranity,madhavaram,76.0,1022,2,0
ayana 95,ayanambakkam,90.0,1022,2,0
ayana 95,ayanambakkam,59.0,501,1,0
jayam sri sai garden hill view,perumbakkam,96.0,1400,3,0
lifestyle podium,t nagar,490.00000000000006,2133,3,0
lifestyle podium,t nagar,450.0,2601,4,0
sri smiley house,perambur,95.0,1304,3,0
sai mugil,chitlapakkam,107.0,1647,3,0
new flat,"puthagaram, korattur",84.0,1200,3,0
udhayam sai versha,chromepet,96.0,910,2,0
livehomes,pallikaranai,61.74,870,2,0
"kovur, chennai, chennai west",kovur,75.0,810,2,0
orchid gardens,old perungalathur,70.65,1359,3,0
"kundrathur, chennai, chennai south",kundrathur,92.0,1050,2,0
new flat,ayanambakkam,82.69,1425,3,0
purva somerset house,"dy,  south",360.0,1968,3,1
purva somerset house,"dy,  south",375.0,1968,3,1
purva somerset house,"dy,  south",447.0,3501,4,1
shriram park 63,perungalathur,100.0,1385,2,1
sidharth crown,madhavaram,112.00000000000001,1457,3,0
marutham neptune,koyambedu,193.0,1846,4,0
marutham neptune,koyambedu,160.0,1471,3,0
spr highliving district,perambur,126.0,1166,2,0
vgk summer garden,"vengaivasal, medavakkam",81.53,1315,2,0
vinayagaburam,kolathur,49.9,790,2,0
vriddhi,t nagar,463.0,2174,3,0
vriddhi,t nagar,395.0,1841,3,0
navins hanging gardens,valasaravakkam,160.0,974,2,1
new flat,kolathur,50.07,790,2,0
vinayagaburam,kolathur,43.1,706,2,0
hi living evita,madhavaram,83.0,1155,3,0
